Mon Jul 17 17:13:07 2023 | INFO  | loadSectionGroups                        | Loading group background
Mon Jul 17 17:13:07 2023 | INFO  | loadSectionGroups                        | Loading group background
Mon Jul 17 17:13:07 2023 | INFO  | loadSectionGroups                        | Loading group background
Mon Jul 17 17:13:07 2023 | INFO  | loadSectionGroups                        | Loading group background
Mon Jul 17 17:13:07 2023 | INFO  | loadSectionGroups                        | Loaded section groups
Mon Jul 17 17:13:07 2023 | INFO  | initialSetup2                            | Loading sections
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | PSP
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | Current exec ready
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | free as a bird
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | free as a bird 2
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | Executable set
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | Setting logo, background and system
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | Loading system logo
Mon Jul 17 17:13:07 2023 | INFO  | loadSections                             | Loading system background
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Loading system picture
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Set
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Out
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | NINTENDO DS
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Current exec ready
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | free as a bird
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | free as a bird 2
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Executable set
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Setting logo, background and system
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Set
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Out
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | GAME BOY
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Current exec ready
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | free as a bird
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | free as a bird 2
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Executable set
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Setting logo, background and system
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Set
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Out
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | GAME BOY COLOR
Mon Jul 17 17:13:08 2023 | INFO  | loadSections                             | Current exec ready
